160201113011       0      11       1       1    0.15       1        0.935922   1.918e-13     0.01396       26.59
160201113011       1      11       1    0.99    0.15       1        0.947825   1.037e-11      0.0141       26.59
160201113011       2      11       1    0.98    0.15       1        0.959976   1.019e-11     0.01424       26.59
160201113011       3      11       1    0.97    0.15       1        0.972384   9.818e-12     0.01439       26.59
160201113011       4      11       1    0.96    0.15       1        0.985056   9.246e-12     0.01454       26.59
160201113011       5      11       1    0.95    0.15       1        0.998001   8.724e-12     0.01469       26.59
160201113011       6      11       1    0.94    0.15       1         1.01123   8.666e-12     0.01484       26.59
160201113011       7      11       1    0.93    0.15       1         1.02474   8.102e-12       0.015       26.59
160201113011       8      11       1    0.92    0.15       1         1.03856   7.598e-12     0.01516       26.59
160201113011       9      11       1    0.91    0.15       1         1.05269   7.183e-12     0.01533       26.59
160201113011      10      11       1     0.9    0.15       1         1.06713    6.64e-12     0.01549       26.59
160201134822       0      12       1       1    0.15    0.02         2.86039   3.448e-09     0.01012       1.511
160201134822       1      12       1       1    0.15    0.04         2.82049   3.907e-09     0.01006       2.799
160201134822       2      12       1       1    0.15    0.06         2.78056    4.23e-10    0.009991       4.086
160201134822       3      12       1       1    0.15    0.08         2.74061   7.233e-10    0.009926       5.373
160201134822       4      12       1       1    0.15     0.1         2.70063   6.621e-10    0.009861       6.659
160201134822       5      12       1       1    0.15    0.12         2.66064   9.196e-10    0.009796       7.942
160201134822       6      12       1       1    0.15    0.14         2.62063   8.137e-10    0.009732       9.223
160201134822       7      12       1       1    0.15    0.16         2.58061   9.516e-10    0.009667        10.5
160201134822       8      12       1       1    0.15    0.18         2.54058   9.363e-10    0.009603       11.78
160201134822       9      12       1       1    0.15     0.2         2.50054   9.914e-10    0.009538       13.05
160201134822      10      12       1       1    0.15    0.22         2.46051   9.774e-10    0.009474       14.32
160201134822      11      12       1       1    0.15    0.24         2.42048   1.009e-09    0.009409       15.58
160201134822      12      12       1       1    0.15    0.26         2.38046   1.032e-09    0.009345       16.84
160201134822      13      12       1       1    0.15    0.28         2.34045    1.05e-09    0.009281       18.09
160201134822      14      12       1       1    0.15     0.3         2.30046   1.083e-09    0.009217       19.33
160201134822      15      12       1       1    0.15    0.32         2.26048   1.095e-09    0.009153       20.57
160201134822      16      12       1       1    0.15    0.34         2.22053   1.138e-09    0.009088        21.8
160201134822      17      12       1       1    0.15    0.36          2.1806   1.169e-09    0.009024       23.03
160201134822      18      12       1       1    0.15    0.38         2.14071   1.199e-09     0.00896       24.24
160201134822      19      12       1       1    0.15     0.4         2.10085   1.231e-09    0.008896       25.45
160201134822      20      12       1       1    0.15    0.42         2.06102   1.256e-09    0.008832       26.64
160201134822      21      12       1       1    0.15    0.44         2.02124   1.291e-09    0.008768       27.83
160201134822      22      12       1       1    0.15    0.46          1.9815   1.318e-09    0.008704          29
160201134822      23      12       1       1    0.15    0.48         1.94181   1.357e-09     0.00864       30.17
160201134822      24      12       1       1    0.15     0.5         1.90217   1.398e-09    0.008576       31.32
160201134822      25      12       1       1    0.15    0.52         1.86259   1.434e-09    0.008512       32.45
160201134822      26      12       1       1    0.15    0.54         1.82307   1.478e-09    0.008449       33.58
160201134822      27      12       1       1    0.15    0.56         1.78361   1.522e-09    0.008385       34.68
160201134822      28      12       1       1    0.15    0.58         1.74421   1.562e-09    0.008321       35.78
160201134822      29      12       1       1    0.15     0.6         1.70489   1.606e-09    0.008257       36.85
160201134822      30      12       1       1    0.15    0.62         1.66563   1.657e-09    0.008193       37.91
160201134822      31      12       1       1    0.15    0.64         1.62646   1.704e-09    0.008129       38.96
160202091310       0      11       1       1    0.15    1.42        0.155864   8.672e-13     0.01489       21.76
160202091310       1      11       1       1    0.15   1.421        0.153609   1.981e-09     0.01499       21.68
160202091310       2      11       1       1    0.15   1.422        0.151338   2.482e-09      0.0151        21.6
160202091310       3      11       1       1    0.15   1.423        0.149048    3.14e-09     0.01521       21.52
160202091310       4      11       1       1    0.15   1.424         0.14674    4.02e-09     0.01534       21.44
160202091310       5      11       1       1    0.15   1.425        0.144411   5.213e-09     0.01547       21.36
160202091310       6      11       1       1    0.15   1.426         0.14206   6.857e-09     0.01561       21.27
160202091310       7      11       1       1    0.15   1.427        0.139686   9.168e-09     0.01577       21.18
160202091310       8      11       1       1    0.15   1.428        0.137286   1.249e-08     0.01594       21.09
160202091310       9      11       1       1    0.15   1.429        0.134857   1.741e-08     0.01613          21
160202091310      10      11       1       1    0.15    1.43        0.132398    2.49e-08     0.01633       20.91
160202091310      11      11       1       1    0.15   1.431        0.129905   3.675e-08     0.01656       20.81
160202091310      12      11       1       1    0.15   1.432        0.127373   5.638e-08     0.01682       20.72
160202091310      13      11       1       1    0.15   1.433        0.124798   2.131e-12     0.01712       20.62
160202091310      14      11       1       1    0.15   1.434        0.122174   6.619e-12     0.01746       20.51
160202100614       0      12       1       1    0.15    0.64         1.62646   2.522e-12    0.008129       38.96
160202091310      15      11       1       1    0.15   1.435         0.11949   2.716e-11     0.01787       20.41
160202101119       0      12       1       1    0.15    0.64         1.62646   2.522e-12    0.008129       38.96
160202091310      16      11       1       1    0.15   1.436        0.116736   1.489e-10     0.01838        20.3
160202091310      17      11       1       1    0.15   1.437        0.113891   1.343e-09     0.01904       20.18
160202091310      18      11       1       1    0.15   1.438        0.110922   3.031e-08     0.02001       20.06
160202100614       1      12       1       1    0.15    0.66         1.58736   1.753e-09    0.008065       39.98
160202091310      19      11       1       1    0.15   1.439        0.107734   1.827e-10     0.02217       19.93
