"0","0.05","0.34","-62.42418848349293"
"0","0.075","0.9","-40.95159576305806"
"0","0.1","1.38","-30.21806153058025"
"0","0.125","1.97023","-23.78202148721807"
"0","0.15","1.44","-19.49724467805006"
"0","0.175","1.44",
"0","0.2","1.44",
"4","0.01","0","-1.619371896741521"
"4","0.02","0.2","0.165905263983104"
"4","0.03","0.68","0.7499559720566809"
"4","0.04","1.06","1.03347246086159"
"4","0.05","1.22","1.196501606861058"
"4","0.075","1.4","1.391212628506582"
"4","0.1","1.44",
"4","0.125","1.44",
"4","0.15","1.44",
