160128165243       0       8       1       1     0.1       0         5.90522        -2.77511         2.71753    4.37e-10
160128165301       0       8       1       1     0.1       0         5.90522        -2.77511         2.71753    4.37e-10
160128165428       0      10       1       1     0.1       0         6.17749        -3.03679         2.85302   4.431e-13
160128165748       0      10       1       1     0.1    0.02         6.13803        -2.99794         2.81367   3.521e-10
160128165748       1      10       1       1     0.1    0.04         6.09867        -2.95907         2.77427   1.791e-09
160128165748       2      10       1       1     0.1    0.06         6.05941        -2.92019         2.73483   1.859e-09
160128165748       3      10       1       1     0.1    0.08         6.02025         -2.8813         2.69534   1.895e-09
160128165748       4      10       1       1     0.1     0.1         5.98117        -2.84241         2.65582   1.941e-09
160128165748       5      10       1       1     0.1    0.12         5.94218        -2.80351         2.61627   1.986e-09
160128165748       6      10       1       1     0.1    0.14         5.90328        -2.76463         2.57669   2.035e-09
160128165748       7      10       1       1     0.1    0.16         5.86446        -2.72575         2.53708   2.082e-09
160128165748       8      10       1       1     0.1    0.18         5.82571        -2.68688         2.49746   2.134e-09
160128165748       9      10       1       1     0.1     0.2         5.78705        -2.64803         2.45781   2.189e-09
160128170644       0      10       1       1     0.1    0.02         6.13803        -2.99794         2.81367   3.521e-10
160128170644       1      10       1       1     0.1    0.04         6.09867        -2.95907         2.77427   1.791e-09
160128170644       2      10       1       1     0.1    0.06         6.05941        -2.92019         2.73483   1.859e-09
160128170644       3      10       1       1     0.1    0.08         6.02025         -2.8813         2.69534   1.895e-09
160128170644       4      10       1       1     0.1     0.1         5.98117        -2.84241         2.65582   1.941e-09
160128170950       0      10       1       1    0.15    0.02         6.18607        -3.04507         2.84452   2.788e-09
160128170644       5      10       1       1     0.1    0.12         5.94218        -2.80351         2.61627   1.986e-09
160128170950       1      10       1       1    0.15    0.04         6.14627        -3.00551         2.80483   1.201e-09
160128170644       6      10       1       1     0.1    0.14         5.90328        -2.76463         2.57669   2.035e-09
160128170950       2      10       1       1    0.15    0.06         6.10653        -2.96594         2.76511    1.23e-09
160128170644       7      10       1       1     0.1    0.16         5.86446        -2.72575         2.53708   2.082e-09
