"0.014"	"1"	"0.2"	"2.790068490118294"	"-0.4206800341793596"	"-0.2626627039900088"	"0.2580396594351638"	"4.687355063577094"
"0.018"	"1"	"0.2"	"2.8596748226048105"	"-0.2696701659807808"	"-0.1375346199583822"	"0.1874078197621868"	"6.4539595751521555"
"0.022"	"1"	"0.2"	"2.879055581865286"	"-0.2004807024738229"	"-0.0852374967669503"	"0.1483447968939965"	"8.153448233445118"
"0.026"	"1"	"0.2"	"2.886502254715597"	"-0.1625686398223758"	"-0.0579595083487371"	"0.1232106442485952"	"9.81669474073267"
"0.03"	"1"	"0.2"	"2.8900808394374278"	"-0.1393618979446972"	"-0.0417711922005443"	"0.1055586274212565"	"11.458287791389562"
"0.034"	"1"	"0.2"	"2.8921380729888515"	"-0.1240294748760114"	"-0.0313088583084806"	"0.092428900361057"	"13.08596184056679"
"0.038"	"1"	"0.2"	"2.8935113643051107"	"-0.1133101502023917"	"-0.0241210076646674"	"0.082256848773024"	"14.704198559557343"
"0.042"	"1"	"0.2"	"2.8945452943247965"	"-0.1054786614778321"	"-0.0189487070083116"	"0.0741320052926494"	"16.315773885514446"
"0.046"	"1"	"0.2"	"2.8953975128989975"	"-0.09954986809515"	"-0.0150881822071945"	"0.067486183350866"	"17.922498949276367"
"0.05"	"1"	"0.2"	"2.8961463444603686"	"-0.0949268145214854"	"-0.0121196181347388"	"0.0619453788519123"	"19.52560582014859"
"0.05"	"1"	"0.2"	"2.8961463444603686"	"-0.0949268145214854"	"-0.0121196181347388"	"0.0619453788519123"	"19.52560582014859"
"0.055"	"1"	"0.2"	"2.8969984302994267"	"-0.0904197118846829"	"-0.0092711253752624"	"0.0561896370221832"	"21.52569724497169"
"0.06"	"1"	"0.2"	"2.897796152017973"	"-0.0868973360887185"	"-0.0070861518191615"	"0.0514193954904281"	"23.522663959409982"
"0.065"	"1"	"0.2"	"2.898562021853562"	"-0.0840649815697277"	"-0.0053636861640278"	"0.0473999929234051"	"25.517328966027144"
"0.07"	"1"	"0.2"	"2.8993083935867183"	"-0.0817305856158442"	"-0.0039736384539719"	"0.0439661543579621"	"27.510281146525635"
"0.075"	"1"	"0.2"	"2.9000423815019696"	"-0.0797646396180353"	"-0.0028287637935176"	"0.0409980094385774"	"29.50195245475821"
"0.08"	"1"	"0.2"	"2.9007682544291216"	"-0.0780772082961478"	"-0.0018687403808494"	"0.0384064451529197"	"31.492666907076146"
"0.085"	"1"	"0.2"	"2.9014886657445222"	"-0.0766042409328457"	"-0.0010507603015769"	"0.0361238025073892"	"33.48267237702484"
"0.09"	"1"	"0.2"	"2.9022053159195385"	"-0.0752991099696947"	"-0.0003437519116858"	"0.0340977669993448"	"35.4721617433867"
"0.095"	"1"	"0.2"	"2.902919324310396"	"-0.0741272120449023"	"0.0002752866685483"	"0.0322872398624117"	"37.461287329992786"
"0.1"	"1"	"0.2"	"2.903631445360056"	"-0.0730624267413768"	"0.000823681977924"	"0.0306594775815477"	"39.450171043542156"
