"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.1" "0.87" "0.0066666666666667" "2.91387844801389" "2.08103174367565" "-0.45404250609643"
"0.1" "0.87" "0.0083333333333333" "2.66731785012699" "2.08105503735559" "-0.239511492254886"
"0.1" "0.87" "0.01" "2.50331107074156" "2.08108715252764" "-0.0967934790175153"
"0.1" "0.87" "0.02" "2.0952375696603" "2.08129015886024" "0.258433473255779"
"0.1" "0.88" "0.0066666666666667" "2.92356426087103" "2.05892575976168" "-0.513810789804825"
"0.1" "0.88" "0.0083333333333333" "2.67707281420882" "2.05894586876296" "-0.296878207740794"
"0.1" "0.88" "0.01" "2.51309380479615" "2.05897421702522" "-0.1525483311954"
"0.1" "0.88" "0.02" "2.10499315895777" "2.05915542860123" "0.206761448718395"
"0.1" "0.89" "0.0066666666666667" "2.93288902139086" "2.03719260895869" "-0.573078620079178"
"0.1" "0.89" "0.0083333333333333" "2.68646306504918" "2.03720986269003" "-0.353742265203738"
"0.1" "0.89" "0.01" "2.52251061777458" "2.03723480966998" "-0.207799640149394"
"0.1" "0.89" "0.02" "2.11438558353756" "2.0373961383446" "0.155592968996172"
"0.1" "0.9" "0.0066666666666667" "2.94187287972945" "2.0158258637703" "-0.63185972798621"
"0.1" "0.9" "0.0083333333333333" "2.69550896417331" "2.01584055360163" "-0.41011751415435"
"0.1" "0.9" "0.01" "2.53158191490431" "2.01586242556817" "-0.262561297845703"
"0.1" "0.9" "0.01" "2.53158091150963" "2.01586242257842" "-0.262560397780252"
"0.1" "0.9" "0.02" "2.12343497042283" "2.01600560268544" "0.104914129304889"
"0.1" "0.91" "0.0066666666666667" "2.9505346604557" "1.99481900019169" "-0.690167540823001"
"0.1" "0.91" "0.0083333333333333" "2.7042295284811" "1.99483138444724" "-0.466017486470559"
"0.1" "0.91" "0.01" "2.54032675354264" "1.99485047308109" "-0.316846872642714"
"0.1" "0.91" "0.02" "2.13216012107278" "1.99497706828749" "0.0547113581112675"
"0.1" "0.92" "0.0066666666666667" "2.95889201212705" "1.974165432876" "-0.748015218280891"
